"","V2","n"
"92"," Europe/Istanbul (UTC +03:00)",6
"93"," Europe/Kiev (UTC +02:00)",1
"94"," Europe/Lisbon (UTC)",2
"95"," Europe/Ljubljana (UTC +01:00)",3
"96"," Europe/London (UTC)",57
"97"," Europe/Madrid (UTC +01:00)",7
"98"," Europe/Moscow (UTC +03:00)",8
"99"," Europe/Oslo (UTC +01:00)",3
"100"," Europe/Paris (UTC +01:00)",22
"101"," Europe/Prague (UTC +01:00)",3
"102"," Europe/Riga (UTC +02:00)",2
"103"," Europe/Rome (UTC +01:00)",9
"104"," Europe/Sofia (UTC +02:00)",1
"105"," Europe/Stockholm (UTC +01:00)",4
"106"," Europe/Tallinn (UTC +02:00)",2
"107"," Europe/Tirane (UTC +01:00)",1
"108"," Europe/Vienna (UTC +01:00)",1
"109"," Europe/Vilnius (UTC +02:00)",5
"110"," Europe/Warsaw (UTC +01:00)",15
"111"," Europe/Zagreb (UTC +01:00)",2
"112"," Europe/Zurich (UTC +01:00)",21
"113"," European /Skopje (UTC +01:00)",1
"114"," Iran /Tehran (UTC +0:30)",3
"115"," Pacific/Auckland (UTC +13:00)",6
"116"," Pacific/Chatham (UTC +13:45)",1
"117"," Pacific/Easter (UTC -05:00)",1
"118"," Pacific/Honolulu (UTC -10:00)",2
